info face="Arial-BoldMT" size=48 bold=0 italic=0 charset="" unicode=0 stretchH=100 smooth=1 aa=1 padding=0,0,0,0 spacing=2,2
common lineHeight=54 base=45 scaleW=512 scaleH=512 pages=1 packed=0
page id=0 file="cyrillic-48.png"
chars count=156
char id=32     x=200   y=414   width=0     height=0     xoffset=0     yoffset=44    xadvance=13    page=0 chnl=0 letter="space"
char id=33     x=379   y=267   width=13    height=40    xoffset=4     yoffset=4     xadvance=16    page=0 chnl=0 letter="!"
char id=34     x=41    y=414   width=23    height=18    xoffset=3     yoffset=4     xadvance=23    page=0 chnl=0 letter="""
char id=35     x=395   y=55    width=31    height=41    xoffset=0     yoffset=4     xadvance=27    page=0 chnl=0 letter="#"
char id=36     x=372   y=2     width=28    height=47    xoffset=2     yoffset=2     xadvance=27    page=0 chnl=0 letter="$"
char id=37     x=444   y=2     width=44    height=42    xoffset=2     yoffset=3     xadvance=43    page=0 chnl=0 letter="%"
char id=38     x=175   y=55    width=37    height=41    xoffset=2     yoffset=4     xadvance=35    page=0 chnl=0 letter="&"
char id=39     x=66    y=414   width=13    height=18    xoffset=2     yoffset=4     xadvance=11    page=0 chnl=0 letter="'"
char id=40     x=55    y=2     width=17    height=51    xoffset=3     yoffset=3     xadvance=16    page=0 chnl=0 letter="("
char id=41     x=74    y=2     width=17    height=51    xoffset=2     yoffset=3     xadvance=16    page=0 chnl=0 letter=")"
char id=42     x=2     y=414   width=22    height=22    xoffset=1     yoffset=3     xadvance=19    page=0 chnl=0 letter="*"
char id=43     x=101   y=382   width=30    height=30    xoffset=2     yoffset=9     xadvance=28    page=0 chnl=0 letter="+"
char id=44     x=26    y=414   width=13    height=20    xoffset=3     yoffset=32    xadvance=13    page=0 chnl=0 letter=","
char id=45     x=131   y=414   width=18    height=12    xoffset=3     yoffset=23    xadvance=16    page=0 chnl=0 letter="-"
char id=46     x=151   y=414   width=12    height=12    xoffset=3     yoffset=32    xadvance=13    page=0 chnl=0 letter="."
char id=47     x=183   y=98    width=19    height=41    xoffset=-0    yoffset=4     xadvance=13    page=0 chnl=0 letter="/"
char id=48     x=33    y=98    width=28    height=41    xoffset=2     yoffset=4     xadvance=27    page=0 chnl=0 letter="0"
char id=49     x=334   y=267   width=21    height=40    xoffset=4     yoffset=4     xadvance=27    page=0 chnl=0 letter="1"
char id=50     x=66    y=267   width=29    height=40    xoffset=1     yoffset=4     xadvance=27    page=0 chnl=0 letter="2"
char id=51     x=63    y=98    width=28    height=41    xoffset=2     yoffset=4     xadvance=27    page=0 chnl=0 letter="3"
char id=52     x=307   y=225   width=30    height=40    xoffset=1     yoffset=4     xadvance=27    page=0 chnl=0 letter="4"
char id=53     x=97    y=267   width=29    height=40    xoffset=2     yoffset=5     xadvance=27    page=0 chnl=0 letter="5"
char id=54     x=93    y=98    width=28    height=41    xoffset=2     yoffset=4     xadvance=27    page=0 chnl=0 letter="6"
char id=55     x=436   y=267   width=28    height=39    xoffset=2     yoffset=5     xadvance=27    page=0 chnl=0 letter="7"
char id=56     x=123   y=98    width=28    height=41    xoffset=2     yoffset=4     xadvance=27    page=0 chnl=0 letter="8"
char id=57     x=153   y=98    width=28    height=41    xoffset=2     yoffset=4     xadvance=27    page=0 chnl=0 letter="9"
char id=58     x=433   y=382   width=12    height=30    xoffset=5     yoffset=14    xadvance=16    page=0 chnl=0 letter=":"
char id=59     x=466   y=267   width=13    height=38    xoffset=4     yoffset=14    xadvance=16    page=0 chnl=0 letter=";"
char id=60     x=225   y=309   width=29    height=32    xoffset=2     yoffset=8     xadvance=28    page=0 chnl=0 letter="<"
char id=61     x=477   y=382   width=30    height=22    xoffset=2     yoffset=13    xadvance=28    page=0 chnl=0 letter="="
char id=62     x=256   y=309   width=29    height=32    xoffset=2     yoffset=8     xadvance=28    page=0 chnl=0 letter=">"
char id=63     x=339   y=225   width=30    height=40    xoffset=2     yoffset=4     xadvance=29    page=0 chnl=0 letter="?"
char id=64     x=2     y=2     width=51    height=51    xoffset=1     yoffset=3     xadvance=47    page=0 chnl=0 letter="@"
char id=65     x=2     y=141   width=40    height=40    xoffset=0     yoffset=4     xadvance=35    page=0 chnl=0 letter="A"
char id=66     x=39    y=183   width=34    height=40    xoffset=4     yoffset=4     xadvance=35    page=0 chnl=0 letter="B"
char id=67     x=252   y=55    width=35    height=41    xoffset=2     yoffset=4     xadvance=35    page=0 chnl=0 letter="C"
char id=68     x=75    y=183   width=34    height=40    xoffset=3     yoffset=4     xadvance=35    page=0 chnl=0 letter="D"
char id=69     x=72    y=225   width=32    height=40    xoffset=3     yoffset=4     xadvance=32    page=0 chnl=0 letter="E"
char id=70     x=128   y=267   width=29    height=40    xoffset=4     yoffset=4     xadvance=29    page=0 chnl=0 letter="F"
char id=71     x=135   y=55    width=38    height=41    xoffset=2     yoffset=4     xadvance=37    page=0 chnl=0 letter="G"
char id=72     x=219   y=183   width=33    height=40    xoffset=4     yoffset=4     xadvance=35    page=0 chnl=0 letter="H"
char id=73     x=394   y=267   width=12    height=40    xoffset=3     yoffset=4     xadvance=13    page=0 chnl=0 letter="I"
char id=74     x=281   y=267   width=27    height=40    xoffset=1     yoffset=5     xadvance=27    page=0 chnl=0 letter="J"
char id=75     x=325   y=141   width=36    height=40    xoffset=4     yoffset=4     xadvance=35    page=0 chnl=0 letter="K"
char id=76     x=371   y=225   width=30    height=40    xoffset=4     yoffset=4     xadvance=29    page=0 chnl=0 letter="L"
char id=77     x=86    y=141   width=39    height=40    xoffset=3     yoffset=4     xadvance=40    page=0 chnl=0 letter="M"
char id=78     x=254   y=183   width=33    height=40    xoffset=4     yoffset=4     xadvance=35    page=0 chnl=0 letter="N"
char id=79     x=53    y=55    width=39    height=41    xoffset=2     yoffset=4     xadvance=37    page=0 chnl=0 letter="O"
char id=80     x=106   y=225   width=32    height=40    xoffset=3     yoffset=4     xadvance=32    page=0 chnl=0 letter="P"
char id=81     x=402   y=2     width=40    height=44    xoffset=2     yoffset=3     xadvance=37    page=0 chnl=0 letter="Q"
char id=82     x=363   y=141   width=36    height=40    xoffset=4     yoffset=4     xadvance=35    page=0 chnl=0 letter="R"
char id=83     x=326   y=55    width=33    height=41    xoffset=2     yoffset=4     xadvance=32    page=0 chnl=0 letter="S"
char id=84     x=289   y=183   width=33    height=40    xoffset=1     yoffset=4     xadvance=29    page=0 chnl=0 letter="T"
char id=85     x=324   y=183   width=33    height=40    xoffset=3     yoffset=5     xadvance=35    page=0 chnl=0 letter="U"
char id=86     x=208   y=141   width=37    height=40    xoffset=-0    yoffset=4     xadvance=32    page=0 chnl=0 letter="V"
char id=87     x=204   y=98    width=51    height=40    xoffset=0     yoffset=4     xadvance=45    page=0 chnl=0 letter="W"
char id=88     x=247   y=141   width=37    height=40    xoffset=0     yoffset=4     xadvance=32    page=0 chnl=0 letter="X"
char id=89     x=168   y=141   width=38    height=40    xoffset=-0    yoffset=4     xadvance=32    page=0 chnl=0 letter="Y"
char id=90     x=359   y=183   width=33    height=40    xoffset=1     yoffset=4     xadvance=29    page=0 chnl=0 letter="Z"
char id=94     x=447   y=382   width=28    height=24    xoffset=3     yoffset=4     xadvance=28    page=0 chnl=0 letter="^"
char id=95     x=165   y=414   width=33    height=10    xoffset=-0    yoffset=43    xadvance=27    page=0 chnl=0 letter="_"
char id=96     x=113   y=414   width=16    height=13    xoffset=1     yoffset=3     xadvance=16    page=0 chnl=0 letter="`"
char id=97     x=287   y=309   width=29    height=32    xoffset=2     yoffset=13    xadvance=27    page=0 chnl=0 letter="a"
char id=98     x=403   y=225   width=30    height=40    xoffset=3     yoffset=5     xadvance=29    page=0 chnl=0 letter="b"
char id=99     x=318   y=309   width=29    height=32    xoffset=2     yoffset=13    xadvance=27    page=0 chnl=0 letter="c"
char id=100    x=435   y=225   width=30    height=40    xoffset=2     yoffset=5     xadvance=29    page=0 chnl=0 letter="d"
char id=101    x=349   y=309   width=29    height=32    xoffset=2     yoffset=13    xadvance=27    page=0 chnl=0 letter="e"
char id=102    x=310   y=267   width=22    height=40    xoffset=1     yoffset=4     xadvance=16    page=0 chnl=0 letter="f"
char id=103    x=461   y=55    width=30    height=41    xoffset=2     yoffset=13    xadvance=29    page=0 chnl=0 letter="g"
char id=104    x=221   y=267   width=28    height=40    xoffset=3     yoffset=4     xadvance=29    page=0 chnl=0 letter="h"
char id=105    x=408   y=267   width=12    height=40    xoffset=3     yoffset=4     xadvance=13    page=0 chnl=0 letter="i"
char id=106    x=106   y=2     width=18    height=50    xoffset=-2    yoffset=4     xadvance=13    page=0 chnl=0 letter="j"
char id=107    x=159   y=267   width=29    height=40    xoffset=3     yoffset=4     xadvance=27    page=0 chnl=0 letter="k"
char id=108    x=422   y=267   width=12    height=40    xoffset=3     yoffset=4     xadvance=13    page=0 chnl=0 letter="l"
char id=109    x=62    y=348   width=42    height=31    xoffset=3     yoffset=13    xadvance=43    page=0 chnl=0 letter="m"
char id=110    x=182   y=348   width=28    height=31    xoffset=3     yoffset=13    xadvance=29    page=0 chnl=0 letter="n"
char id=111    x=159   y=309   width=31    height=32    xoffset=2     yoffset=13    xadvance=29    page=0 chnl=0 letter="o"
char id=112    x=467   y=225   width=30    height=40    xoffset=3     yoffset=13    xadvance=29    page=0 chnl=0 letter="p"
char id=113    x=2     y=267   width=30    height=40    xoffset=2     yoffset=13    xadvance=29    page=0 chnl=0 letter="q"
char id=114    x=270   y=348   width=22    height=31    xoffset=3     yoffset=13    xadvance=19    page=0 chnl=0 letter="r"
char id=115    x=380   y=309   width=29    height=32    xoffset=1     yoffset=13    xadvance=27    page=0 chnl=0 letter="s"
char id=116    x=357   y=267   width=20    height=40    xoffset=1     yoffset=5     xadvance=16    page=0 chnl=0 letter="t"
char id=117    x=212   y=348   width=28    height=31    xoffset=3     yoffset=14    xadvance=29    page=0 chnl=0 letter="u"
char id=118    x=2     y=382   width=31    height=30    xoffset=0     yoffset=14    xadvance=27    page=0 chnl=0 letter="v"
char id=119    x=294   y=348   width=43    height=30    xoffset=0     yoffset=14    xadvance=37    page=0 chnl=0 letter="w"
char id=120    x=35    y=382   width=31    height=30    xoffset=0     yoffset=14    xadvance=27    page=0 chnl=0 letter="x"
